,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,7071254000,7071254000,6934927000,6801249000,6478566000,6446338000,5641311000,3845000000,3845000000,3845000000,3845000000
자산총계,239465749136,208455083136,216779737362,211233454776,196506636885,195258867718,177187524651,105423851709,89091124050,83823224027,62388532463
당기순이익,5505283414,3181414647,12151612470,16120713381,8934922459,4535013863,8127394382,10495311718,10318547801,12414144910,4587995227
영업활동현금흐름,24756782540,11936619913,16493748952,23153408500,15837685581,17389249604,13695793385,17386520431,15566606997,15186706128,8745998518
영업이익,18078107189,2025737210,12265021273,23015407202,10763512454,15724939070,17224289770,20264218044,18412268299,15097725292,7942316934
매출액,121769458607,87678824284,101865962869,112580717658,92504561676,99039486194,73989286384,56824026770,53054805018,43841088627,28660675547
종가,27000,9750,8620,19600,16650,28650,26600,16300,10400,8400,4970
시가총액,381847716000,137889453000,119558141480,266608960800,215736247800,369375167400,300117745200,125347000000,79976000000,64596000000,38219300000
상장주식수,14142508,14142508,13869854,13602498,12957132,12892676,11282622,7690000,7690000,7690000,7690000
