,2020,2019,2018,2017,2016,2015,2014
자본금,6724576000,5985530500,5521709000,,,,
자산총계,95690353566,56243072699,52399223435,,,,
당기순이익,632812213,-3176089902,,,,,
영업활동현금흐름,-6833594910,-1793736125,,,,,
영업이익,1301376131,-3230131258,,,,,
매출액,37666650197,29558743082,,,,,
종가,4355,6040,4150,4540.0,9320.0,8070.0,6920.0
시가총액,53890477160,72305208440,45830184700,43864862560.0,90048572480.0,66491861160.0,51480564960.0
상장주식수,12374392,11971061,11043418,9661864.0,9661864.0,8239388.0,7439388.0
