,2020,2019,2018
자본금,5045451100,4605451100,
자산총계,41225526167,32198303911,
당기순이익,-2255194306,3220782773,
영업활동현금흐름,659742683,4651475381,
영업이익,3660868407,4806169467,
매출액,61646874770,70459223130,
종가,2825,2395,4050.0
시가총액,142533993575,90188515000,152510850000.0
상장주식수,50454511,37657000,37657000.0
