,2020,2019,2018
자본금,9531484000,100000000,100000000
자산총계,78322231845,41550381700,7595636389
당기순이익,6991708907,7629419252,3573636449
영업활동현금흐름,-13947210309,5608166132,3415397925
영업이익,8147433099,9911307269,4544222378
매출액,139727300255,64096769437,21702487802
종가,10700,,
시가총액,203973757600,,
상장주식수,19062968,,
