,2020,2019,2018,2017
자본금,3298350000,3298350000,3000000000,1000000000
자산총계,103688306460,89005070919,79266755067,64903846199
당기순이익,4795622398,6869623675,11214626201,6356092059
영업활동현금흐름,162541158,2054323229,10686924693,6435941539
영업이익,7534657973,9018784627,14574144083,12020807214
매출액,67274849452,81358617157,92346622662,84152106918
종가,10850,9400,,
시가총액,71574195000,62008980000,,
상장주식수,6596700,6596700,,
