,2020,2019,2018,2017,2016,2015,2014
자본금,7471757000,7001664000,5500917500,2163660500,2163660500,2163660500,1232727000
자산총계,165737974515,172007119266,134904940514,124066503312,82255293357,62383533776,46990050901
당기순이익,405260497,-30764652372,-690979330,18442949894,2540723829,7375899060,670446098
영업활동현금흐름,11534312171,-5021806732,5144983306,-5986848220,-4884656389,9206391482,1004022120
영업이익,463586434,-21892260198,262173745,15744648526,3043681092,8063920446,2687208802
매출액,66089641038,53365357987,92091501086,150431279969,52705412045,70583995359,40422694513
종가,8900,13800,7520,54000,30300,18350,6500
시가총액,132939816200,193245926400,82733799200,233675334000,131117826300,79406340350,16025451000
상장주식수,14937058,14003328,11001835,4327321,4327321,4327321,2465454
