,2020,2019,2018,2017,2016,2015
자본금,9275667700,9358419800,9358419800,7071800000,5033700000,25443655000
자산총계,9363676359930,8615722154016,8113419644582,7033887850957,7068058344028,6886299749063
당기순이익,173596938777,94582868669,194337799958,333723096884,371782742199,177923825958
영업활동현금흐름,670282130407,434100886491,167138871544,470646032734,498217991348,223084615209
영업이익,354033884928,306510648996,354948850685,464597100414,450742455864,351165151279
매출액,7723311404491,7350259327184,7357069317679,6934326039077,6196497585196,5113079866016
종가,9010,8570,11500,,,
시가총액,831999798200,802016576860,1076218277000,,,
상장주식수,92341820,93584198,93584198,,,
