,2018,2017,2016,2020,2019
자본금,8410000000,7647000000,7147000000,,
자산총계,48494324096,21251300092,15711930366,,
당기순이익,-7744074003,-4521239653,-1801824093,,
영업활동현금흐름,-9277560537,-3832125766,-1695078428,,
영업이익,-9182247636,-4535267012,-1842245321,,
매출액,342497659,106531781,0,,
종가,7380,,,21000.0,10800.0
시가총액,124131600000,,,712331613000.0,337295491200.0
상장주식수,16820000,,,33920553.0,31231064.0
