,2020,2019,2018,2017,2016
자본금,4556612000,4531412000,4516112000,1000000000,1000000000
자산총계,102182485456,77528522092,58916506488,23901054759,12403896716
당기순이익,19419954993,9467872989,2137855601,2096426040,306598380
영업활동현금흐름,4345773115,7493242157,7898888831,4088822161,-28822724
영업이익,23517822564,11951750220,9893472606,4616442238,1223124879
매출액,190109486720,125146821028,87218814490,60382904269,33136965570
종가,24900,13950,12200,,
시가총액,226919277600,126426394800,110193132800,,
상장주식수,9113224,9062824,9032224,,
