,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,6756750000,6756750000,6756750000,6756750000,6756750000,6756750000,6756750000,6756750000,6756750000,6756750000,6756750000
자산총계,355905991893,349635527584,344835984815,364128721464,416302907987,416109168064,316081673890,227363799430,221606668497,142116947924,89106188173
당기순이익,-12613313641,-4279362085,-3448334217,8168306705,18929657814,8577330458,27894337971,11441873872,7668841269,4605337493,6287367530
영업활동현금흐름,18506769072,31621002981,53329200042,57800245563,36303852242,27705954827,48705665663,35915304732,-21460527863,-7689183500,12679766950
영업이익,-9153724225,-14582282150,1493492457,922263739,26611909962,18519511361,29538090268,11672985530,8508637985,5359715756,6280100035
매출액,191662429196,191126790633,228507868755,261122251733,343246622615,304829511895,244511079697,192725186778,135293639629,81135055214,64634875499
종가,4000,3535,2335,4955,6700,8470,11150,9410,3460,2210,2535
시가총액,54054000000,47770222500,31554022500,66959392500,90540450000,114459345000,150675525000,127162035000,46756710000,29864835000,34256722500
상장주식수,13513500,13513500,13513500,13513500,13513500,13513500,13513500,13513500,13513500,13513500,13513500
