,2020,2019,2018,2017,2016,2015,2014
자본금,2945385500,2861347500,2861347500,2861347500,2759878500,1726585700,867932500
자산총계,62033756276,79274812640,58843721642,54682286977,57985132339,23879113571,8529677802
당기순이익,-10561290992,-5670826187,-359930994,-2878699416,-569867184,-6790556048,1320695508
영업활동현금흐름,-4759724095,-717461939,-2748507182,-2823247423,-842353337,-2959346192,-2304789625
영업이익,-4702417450,-4855333498,-1217222836,-985596877,-579324047,1141407590,1660826534
매출액,14962003987,23825795554,27311088490,46002870291,29076104755,20666173999,15180005985
종가,2335,,,,,,
시가총액,68774751425,,,,,,
상장주식수,29453855,,,,,,
