,2020,2019,2018
자본금,1331514100,907088700,889045300
자산총계,43760077691,26935607774,7347308379
당기순이익,-13146601162,-5760155545,-2215638093
영업활동현금흐름,-7933850363,-4673750151,-1434945042
영업이익,-12258809761,-4492065268,-2022470418
매출액,9820006963,4101115062,2053534999
종가,17350,,
시가총액,231017696350,,
상장주식수,13315141,,
