,2020,2019,2018
자본금,2782935000,2011860000,502965000
자산총계,48593025949,25020549175,17575684465
당기순이익,4853653377,4150870541,3417388464
영업활동현금흐름,3420257179,4282765891,4851843352
영업이익,4793821956,4335671709,3573114174
매출액,23489321776,22108907456,19199521321
종가,19450,,
시가총액,108256171500,,
상장주식수,5565870,,
