name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본총계,1629676230000,1629676230000,1629676230000,1629676230000,1629676230000,1279676230000,1171899495000,966899495000,966899495000,966899495000,933418250000
자산총계,114156870956930,104538771055803,98793581956621,94349977199141,93482189322407,90279548107075,84050063926700,46916890811024,43163255892267,39358672617650,30705550891331
당기순이익,562555756578,598946530179,538140848972,424964047023,518114401855,530471200882,819668197015,305522080841,365873515994,,
영업활동현금흐름,-1111331673865,-488631995834,354436107335,1530250471022,-1125805874331,746420688192,-130549477590,-794301715851,-931685189000,34901430579,
영업이익,748191037815,806882775368,749833212133,594323666429,712280655958,696176310892,941140228516,412738282037,493613470899,536277321458,
매출액,386470047554,321482644857,261851651794,185235534476,218031443287,163314012181,542240362274,45925758102,24569600906,32419576788,
