,2020,2019,2018,2017,2016,2015,2014
자본금,11207533000,11207533000,11207533000,11032200000,9432200000,2358050000,400000000
자산총계,146262464310,137235392278,150157174212,128073430531,68592467063,42159897103,4964744685
당기순이익,-9765160630,-19628120615,6059404821,13459906290,22451711315,18286571137,2588359968
영업활동현금흐름,-4579509576,6738328311,-19898947380,-7092251777,13455660022,22178067878,2171993621
영업이익,-3712204178,-16407848158,10345380208,19437156873,28081047439,26515647351,3067016109
매출액,140725431479,156259210060,156623549969,127402378629,104692209447,74634006112,9695383432
종가,4745,4950,8720,14700,,,
시가총액,106359488170,110954576700,195459375520,324346680000,,,
상장주식수,22415066,22415066,22415066,22064400,,,
