,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,9233474000,8803343000,8233311500,8233311500,8233311500,8233311500,8233311500,8233311500,8233311500,8000000000,8000000000
자산총계,533231525031,517329568896,394042763330,362615323919,335125436322,302880053649,296279338958,274354558783,250227922317,240268360869,228520710550
당기순이익,34664568581,32426085333,28935659493,28572312049,24511992164,19018249988,21517605297,20098733028,21981600119,15455324286,20806085819
영업활동현금흐름,18405773854,8165760894,8902843107,1257294603,4013177868,9985867255,13959466584,7941029902,7130387556,3011127353,-1208062020
영업이익,22352546930,9196085718,6805833003,9914910469,5209485264,2939202526,4978912897,4254817998,5196214973,8706416486,12573075590
매출액,392435847933,274243608436,269261481173,259408652489,223951933790,225029375330,264551132891,266373614160,274500418743,280605135036,254010576669
종가,14000,15900,14050,17700,17650,24150,23900,15700,9450,5550,5470
시가총액,258537272000,279946307400,231356053150,291459227100,290635895950,397668945450,393552289700,258525981100,155609587350,88800000000,87520000000
상장주식수,18466948,17606686,16466623,16466623,16466623,16466623,16466623,16466623,16466623,16000000,16000000
