,2020,2019,2018,2017,2016,2015,2014,2013
자본금,125734792000,88381873000,49231126000,36894322500,36747322500,11548800000,4913500000,3930000000
자산총계,166028069611,202870790946,177320926927,171929134035,166420843792,137026755680,119406640577,65682161093
당기순이익,-61617082346,-39642535691,-11575096403,-11528088108,-171160879,15021094884,14750677770,6544999073
영업활동현금흐름,2760719912,2672793619,2465871639,-34215915643,-10497395852,-324606964,581943286,5440368222
영업이익,-6145492212,-29914886177,-5425038568,-11669409769,1049599331,12708514350,17152201495,8726615498
매출액,49281755717,31930108651,58911297275,45943800698,49520835435,77101166596,85999035061,53249099893
종가,1835,804,,,,,,
시가총액,461446686640,142118051784,,,,,,
상장주식수,251469584,176763746,,,,,,
