,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,8600000000,8600000000,8600000000,8600000000,8600000000,8600000000,8600000000,8600000000,8600000000,8600000000,8600000000
자산총계,360846618397,239942067557,204372565939,202310192798,187244862123,171255044026,283809464147,140370817325,139130166467,122024278854,116677633583
당기순이익,,-166967208,-5431046820,-278539574,682552335,1844727593,2460773540,3732731198,7326932504,,
영업활동현금흐름,12705307331,30080710442,12592508300,3692517550,11447055045,24748984014,16530329178,-1534404431,9235185068,11346440313,3048981813
영업이익,8780829508,6613163883,-1842681136,-917137408,1183534199,12794445369,3354631382,3233792927,7210179398,5117369471,5131819819
매출액,615617262413,498722328943,506443290485,456800692607,420980025599,363119945178,355868700459,330426246921,340054895908,355286644290,334834637678
종가,14750,7460,4800,5480,5910,9160,6970,4370,4295,4130,5880
시가총액,253700000000,128312000000,82560000000,94256000000,101652000000,157552000000,119884000000,75164000000,73874000000,71036000000,101136000000
상장주식수,17200000,17200000,17200000,17200000,17200000,17200000,17200000,17200000,17200000,17200000,17200000
