name,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본총계,10981282500,8533809500,7285521000,7133314500,5982717500,5251015000,3988273500,18485086500,16517159000
자산총계,41742143930,41822337388,52079042868,35990573906,29032934061,27260642750,31079658477,41095950063,49755269839
당기순이익,-6591115646,-18520371267,-5760192650,-2236525732,-5923719974,-11034758327,-7166562942,-6212523493,-11391610150
영업활동현금흐름,565554068,-5940527352,-2494943316,-6359474763,-1699854595,-3276000825,441818819,1243876260,-3737688597
영업이익,-1516977958,-3428136777,-4631294669,-169495783,-1275973602,-2691146971,-555686593,-1067926815,-1531431330
매출액,54588246084,51486653179,49316599952,52949862283,52368729238,58600437396,73181587219,87217506632,57978781840
