,2020,2019,2018,2017,2016,2015
자본금,10189802500,3960375000,3960375000,2640250000,2080000000,2080000000
자산총계,178901294582,147695815673,148068119768,96901240498,73393438585,46773480986
당기순이익,-93061597904,-221897145,366135878,3597606868,3952900510,8225431033
영업활동현금흐름,-45528962622,7445875107,-13046923128,-11194170899,-5040819698,-7456439926
영업이익,-69270124008,2988445560,5728735034,5623699186,6816879912,10848985500
매출액,196498598791,128590481274,85738787069,94899276824,100557956154,93206741958
종가,10150,7620,8040,10350,,
시가총액,206852990750,60356115000,63682830000,54653175000,,
상장주식수,20379605,7920750,7920750,5280500,,
