,2020,2019,2018,2017,2016
자본금,15002172500,14048185000,14025745000,14018620000,11018620000
자산총계,757299504134,581557107129,512374587654,459453883583,242035421125
당기순이익,29619306416,26424613466,35833521799,23846968479,8142776089
영업활동현금흐름,5210495083,-12176095691,-29054648659,-7177964174,-12428600297
영업이익,49117055975,28701606368,39891820303,32977618561,16630645028
매출액,525729451263,468660678163,379606273010,286788567809,154446743972
종가,92600,80900,92400,65000,
시가총액,2778402347000,2272996333000,2591957676000,1822420600000,
상장주식수,30004345,28096370,28051490,28037240,
