,2020,2019,2018,2017,2016,2015
자본금,2455250000,2455250000,2452750000,2452750000,2007750000,1588750000
자산총계,76954243536,76209622736,77041475340,60167154717,36948026351,20403989409
당기순이익,2487857975,4073789795,14827685045,16079544697,10749434191,3052306999
영업활동현금흐름,-4454620620,2261406972,17178211022,14728233106,4647576941,2654648272
영업이익,2727036269,3109187190,15156012946,18164720318,11449471222,3103888919
매출액,28862656478,37348781129,50838818296,45634186761,30914029951,16079189375
종가,10500,11950,12750,29500,22000,5100
시가총액,51560250000,58680475000,62545125000,144712250000,88341000000,16205250000
상장주식수,4910500,4910500,4905500,4905500,4015500,3177500
