,2020,2019,2018,2017,2016,2015
자본금,17424195000,16430652500,16379207500,16379207500,13021160000,13021164000
자산총계,357499545587,335398061170,272610410672,150908771915,99623580841,79885023391
당기순이익,18309063346,16029009537,9620249683,5750242843,4477568881,1253213535
영업활동현금흐름,31720694844,20266208580,5117014982,9551488783,17333355941,-999774421
영업이익,26650906053,20187913667,14132765258,9945733828,7108163285,1976542941
매출액,280068290307,239492755305,215388514399,133136215062,100094144084,76673332924
종가,47750,38350,35900,23500,,
시가총액,332802124500,252046209350,235205419700,153964550500,,
상장주식수,6969678,6572261,6551683,6551683,,
