,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,13197087000,13197087000,13197087000,9897087000,9897087000,9897087000,9897087000,6429937500,6429937500,6429937500,6429937500
자산총계,211767320381,206569873068,202572970017,187009682702,166748489579,161330949681,155857242039,149230186777,161163023959,149471329712,142703275267
당기순이익,727487106,3387485911,5920905400,1357296187,2542449905,4158784939,2236587588,2179847208,1633008740,-647882988,2294905317
영업활동현금흐름,18178377578,7656129058,3263343541,5515130578,19282164217,17308908300,3399362545,11048296060,11791408002,1574250056,6928437959
영업이익,2938642459,5239175114,5378869137,5691336047,4337719063,6145427652,5438228641,7492264925,7488049264,3714861691,7088853965
매출액,196660508020,230853335884,195238338507,149833357264,148301597204,172083049474,170528694034,172747316454,155788988051,147832314807,150546088697
종가,1650,1820,1540,2080,2365,2190,1370,1485,1440,1380,1680
시가총액,43550387100,48037396680,40647027960,41171881920,46813221510,43349241060,27118018380,19096914375,18518220000,17746627500,21604590000
상장주식수,26394174,26394174,26394174,19794174,19794174,19794174,19794174,12859875,12859875,12859875,12859875
