,2020,2019,2018
자본금,893180000,663000000,50000000
자산총계,77109200349,53292311827,40659255458
당기순이익,765102541,6572367044,2542974201
영업활동현금흐름,4888199033,2840827360,4746959587
영업이익,4555596742,6821097431,3838920875
매출액,33324513248,32859673907,24045926239
종가,13700,,
시가총액,122365660000,,
상장주식수,8931800,,
