,2020,2019,2018
자본금,7327462000,6172662000,510436500
자산총계,61552115783,33189932764,31734646424
당기순이익,-14658635374,-63811125984,-15512099358
영업활동현금흐름,-13211206502,-14451341666,-8088804697
영업이익,-14831329233,-14574115460,-11090130072
매출액,1689320642,811384315,84942727
종가,22400,,
시가총액,328270297600,,
상장주식수,14654924,,
