,2020,2019,2018,2017,2016,2015
자본금,5371500000,5371500000,5371500000,5371500000,5355000000,
자산총계,216556145567,231847040571,218938147534,221822603101,230681994725,
당기순이익,31449220782,28019473514,16251788540,18229326873,11369732033,
영업활동현금흐름,30775990492,69659446950,-6821342120,47878709695,-15957721199,
영업이익,31977802907,35375014087,19743760837,21938369992,10691314944,
매출액,60295113424,64698623362,51211119937,46531030175,30904870647,
종가,71700,76500,70900,85700,82100,102000.0
시가총액,770273100000,821839500000,761678700000,920675100000,879291000000,1092420000000.0
상장주식수,10743000,10743000,10743000,10743000,10710000,10710000.0
