,2020,2019,2018,2017,2016,2015,2014,2013
자본금,11199605000,11052851500,10901651500,5429823500,5393073500,4470226500,3060085000,2759333500
자산총계,113227402704,90202498616,70334518862,70150899864,63225645245,30523203215,16941207674,9000051389
당기순이익,-12124660350,-5522405209,-2441932226,1342559776,1614859134,1211275504,2181557522,146670415
영업활동현금흐름,-2452377296,-167499536,1563614125,1363832433,516085395,2854044134,-286447598,-431755146
영업이익,-4698150004,-2877734097,-1213556220,1192095346,1325987978,1098014476,1391658801,243574236
매출액,18769177911,14941514325,11517965664,11505972028,7028776603,6640037996,6148463824,2403594046
종가,11000,5700,7040,20700,19450,18450,,
시가총액,246391310000,124478099100,151612475520,187727327100,174961560850,164951357850,,
상장주식수,22399210,21838263,21535863,9068953,8995453,8940453,,
