,2020,2019,2018,2017,2016,2015,2014
자본금,3704661500,3695861000,3453338000,1576790500,,,
자산총계,55581763871,48291551147,36931541350,29387149931,,,
당기순이익,1325172723,1177494178,1132202006,2044960280,,,
영업활동현금흐름,2645607363,2206934569,2914597750,3427717187,,,
영업이익,2242789637,679893543,1532807231,2476714319,,,
매출액,32928711304,23851998764,18022795374,16310645334,,,
종가,4520,3880,3785,5090,3350.0,4800.0,7600.0
시가총액,33490139960,28679881360,26141768660,16051727290,10564496350.0,15137188800.0,23967215600.0
상장주식수,7409323,7391722,6906676,3153581,3153581.0,3153581.0,3153581.0
