,2020,2019,2018,2017,2016
자본금,10013135576,10013135576,1697000000,1697000000,
자산총계,31286706201,29502621024,10432511719,7492092151,
당기순이익,-1048088389,2042668159,3029076940,2496429794,2942307362
영업활동현금흐름,2741657542,2862576107,3016643655,2206587796,2484876910
영업이익,-714445855,2095865112,4512343110,3731246360,3308225783
매출액,6612289204,7754793753,9919282001,6825817753,5385000788
종가,22650,16000,,,
시가총액,477049770000,336988800000,,,
상장주식수,21061800,21061800,,,
