,2019,2018,2017,2016,2015,2020
자본금,1826628000,1814104000,1814104000,1780604000,1751854000,
자산총계,54511420646,51714007497,75998758238,45951826142,44241217886,
당기순이익,-10918860349,-505764875,-7394955136,1082969191,-678172125,
영업활동현금흐름,-7067311220,441914634,-2818262925,5334220384,-2837874572,
영업이익,-11797624848,-826931480,-7032875424,2215298364,-981894866,
매출액,75225409978,118479219268,56415906335,63665827877,52185321308,
종가,10750,9980,23000,16700,12450,7050.0
시가총액,39272502000,36209515840,83448784000,59472173600,43621164600,25755454800.0
상장주식수,3653256,3628208,3628208,3561208,3503708,3653256.0
