,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,58700796000,67086624000,17310582500,17310582500,17310582500,17310582500,17310582500,14466480000,14466480000,12913175000,12653175000
자산총계,666079005348,2453550823580,653284606375,533978663290,508663965670,494211833588,465783924045,459352059889,573743779753,635862353601,562573715769
당기순이익,357915118,-150612377175,22333926710,24937526172,23695775681,13399179011,10404678857,-2836803309,-7541622342,22755354656,54193153139
영업활동현금흐름,49898177131,51724317470,38279636692,59857369303,65624943600,-18017170184,22664211623,53087055354,43217327654,53481133206,67556498040
영업이익,13993153478,21653560926,33994612121,34215442148,37709169610,23369992818,17965264097,12864287452,3125176938,36942353158,88019607739
매출액,646135586860,652236815803,642932702719,624308471007,624013874878,650492558896,642939536236,648839787261,712006302263,762308776774,865138997232
종가,2755,3035,2695,7090,9310,10200,7600,6900,6550,15900,21800
시가총액,323441385960,407215807680,93304039675,245464059850,322323046150,353135883000,263120854000,199637424000,189510888000,410638965000,551678430000
상장주식수,117401592,134173248,34621165,34621165,34621165,34621165,34621165,28932960,28932960,25826350,25306350
