,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,17571493000,17571493000,17571493000,17571493000,17571493000,17571493000,17571493000,17571493000,17571493000,17571493000,17571493000
자산총계,530366843134,503688015263,632827969106,603730626768,519372935630,482838657672,398436358252,408525165345,363912589970,366689625729,318191367921
당기순이익,9037544725,15258857126,15276268482,11669200133,14944295258,11602352704,9537454257,12425607461,12284956565,7540087361,11481738813
영업활동현금흐름,11029206256,19811630209,-42043242049,51505237228,13553993529,17886170248,6660616055,6981062740,-15558919854,33667195943,9621175394
영업이익,25274130574,21891878780,25412262792,19713357553,19588688305,13807787395,12839343427,16133937515,15107914902,13557410784,10867484821
매출액,375617022738,542087210968,538206687862,501300688225,407958968625,479291300885,385598132517,349083884731,335845836169,324079348902,262861682007
종가,5700,6550,7530,10300,8170,8800,,,,,
시가총액,94434231300,108516528950,124752589770,170644312700,135355731530,145793199200,,,,,
상장주식수,16567409,16567409,16567409,16567409,16567409,16567409,,,,,
