,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,11094909500,10986205500,10986205500,10986205500,10986205500,10986205500,10986205500,10986205500,10986205500
자산총계,120399236765,99125582615,96865231803,89143982923,85603670003,78549341150,72577646525,55331886837,55697448344
당기순이익,-7620269833,4291189940,4406554644,4387609847,5325415316,6422876694,7449606418,6662318070,4969573702
영업활동현금흐름,864280099,2436279320,2056305137,1806220960,5252280263,4190816791,6406509015,8614621893,11472173107
영업이익,-1900645985,412710640,1664353012,1849192437,3151805961,4041096897,5443352243,6403274299,4228188419
매출액,35122831805,46465722378,53252621825,51170397024,49727412850,51008316426,39002934651,39285919862,43234047193
종가,14500,,,,,,,,
시가총액,321752375500,,,,,,,,
상장주식수,22189819,,,,,,,,
