,2020,2019,2018,2017
자본금,5688220000,4772470000,4772470000,
자산총계,70955609891,64059044492,39787118380,
당기순이익,3038532845,4411014379,5292982651,
영업활동현금흐름,6852631025,5039575137,4962913066,
영업이익,5476511745,6196229153,5676147906,
매출액,18429751541,15677354361,15037979111,
종가,17350,14150,15000,9680.0
시가총액,197381234000,135060901000,143174100000,92395019200.0
상장주식수,11376440,9544940,9544940,9544940.0
