,2020,2019,2018,2017,2016,2015
자본금,7585250000,7585250000,7585250000,7585250000,5911500000,1210000000
자산총계,118134053984,129237818369,107919651219,78854698564,68808516326,61103106046
당기순이익,201286429,2023675485,2809312074,3532402445,4441173636,3885684081
영업활동현금흐름,1865186383,-4505635097,774240929,4568530928,2794295097,5239125481
영업이익,-4169591506,2328969222,3036077702,4511268043,5533390074,5394672132
매출액,67128841180,67854562425,63719957425,61732958048,58068777730,51614383282
종가,9140,6820,7330,7500,,
시가총액,138658370000,103462810000,111199765000,113778750000,,
상장주식수,15170500,15170500,15170500,15170500,,
