,Unnamed: 0,Name,ROE,ROA,PER,PBR,PSR,PCR,POR,GP/A,시가총액
1307,1412,휴온스글로벌,108.29012653923374,0.944613405294536,0.6334834226566914,68.6,2.036155665061836,17.19716249358544,11.53580594369431,0.0518730061856207,333343589600.0
82,85,NAVER,46.05650840376172,0.1191518474483516,33.65430975382845,1550.0,6.350591189927725,21.946343516202283,23.18070595967982,0.1729875349242006,25546076225000.0
117,120,SK텔레콤,37.18947557068931,0.0530423309880996,10.895143888233306,405.1846874705975,1.0582280586217403,4.2626262415252,11.777379084014004,0.0490689672260833,18087039264000.0
928,998,일동홀딩스,36.854214421197725,1.304296481821682,0.7000556220012768,25.8,4.570584999685598,3.995204539099277,-53.08500637056228,-0.0172003386131661,186348549600.0
1308,1413,휴젤,30.99876241345311,0.1729541047149536,20.716956097618027,642.2,8.491148617080079,23.360631447870283,16.669404821081613,0.2149496417383206,1054511023800.0
465,499,삼성전자,25.32115599310986,0.0866831337762884,11.154762784292169,282.4514885271985,1.2557995388195318,5.349809433295873,8.669573848166007,0.1115314099179292,253504165274000.0
720,780,엔씨소프트,24.750932539535963,0.114953212102123,19.99924646109033,495.0,5.51816889324957,48.44948574743994,16.50867592747273,0.1392587528172705,5427432945000.0
1026,1103,컴투스,23.591198623082413,0.2131602544661192,7.392587497837488,174.4,2.186827801365271,7.1924365761905245,5.844215358707879,0.2696351409867434,1121951824000.0
361,386,메디톡스,20.07787374709076,0.1780004324194261,35.52168964621273,713.2,15.137219792209327,39.049652833834415,27.73571025997006,0.2279687831329885,2017120381000.0
747,809,영원무역홀딩스,18.9189836934106,0.0454475610315571,6.28997846440595,119.0,0.3470113542240874,6.2771860808215925,4.036488046124603,0.0708200239618509,811317724000.0
620,665,아모레퍼시픽,18.71234686358241,0.1246200998993957,29.105730800723965,544.636530461201,3.329130058952381,27.76328473609513,22.160509362583152,0.1636767016806665,18794404535000.0
641,688,아이에스동서,13.934786188776933,0.1031770428734926,6.393822837105352,89.0965541639822,0.7937205790879266,12.928110568976036,4.489795367624172,0.1469322494620999,1368454779450.0
462,496,삼성에스디에스,13.29393477369478,0.0751720875509494,20.987014360268116,279.0,1.3195545876433554,17.331232620812827,17.21310113585826,0.0916533092132119,10794203100000.0
569,611,슈피겐코리아,12.403320789342578,0.1790678420549018,9.17496224864082,113.8,1.97317213767975,12.562247927760753,8.124466380588022,0.2022213661594831,353711054700.0
159,165,골프존,11.334380160993335,0.1892563984520933,11.522465114541763,130.6,1.8887186553101245,11.629380322229055,9.36673151751482,0.2328133612872727,409784599500.0
508,542,서연,11.274902338107529,0.0451225761459217,1.8980208748834229,21.4,0.0787979817446065,1.9841492168721415,1.980775838460969,0.0432373970797321,251234330800.0
807,872,원익,11.235922410758157,0.3673364069435748,1.0359630099309824,11.64,1.1346890526631055,53.30160139747856,30.63272547553865,0.0124228883942559,73532394240.0
385,410,무학,10.78646624,0.1018365358909341,10.591976784419066,114.25,2.4104354903121403,12.334967530683484,12.53346387823122,0.0860616214673016,651225000000.0
334,357,롯데케미칼,10.720131059976246,0.1157877431254115,6.884244193201451,73.8,0.9564480294437088,4.683198162328497,4.971056320919635,0.1603504460210082,12647629611000.0
1245,1341,한전KPS,9.809175166888888,0.0808101636654962,27.62719549700439,271.0,1.994102887143408,19.769349658983984,23.06129452621085,0.0968097513864244,2439000000000.0
742,803,엠케이전자,9.79697196681409,0.0801486087861876,1.9107944846031464,18.72,0.3294377641999008,-1.698212625744664,1.6259472846887149,0.094189720084672,204119969040.0
535,572,세방전지,8.967992890857143,0.0577791815280042,8.340773784093708,74.8,0.5455440986123824,6.592297253679363,7.042369725266205,0.0684319485280861,523600000000.0
678,730,에스에프에이,8.86286190433755,0.052857048844759,14.555117905748531,129.0,0.8774836152614396,7.041953310102137,9.585844726989864,0.0802579845591724,1158057510000.0
343,367,링크제니시스,8.67371585853105,0.1456948187216516,7.586137368712889,65.8,1.3085114855206328,4.741882371725886,8.07334647932114,0.1369024495063055,13339634000.0
507,541,서산,8.437695935,0.1372273963221192,5.712459938271051,48.2,0.8564290260422808,5.308569267115548,4.388912236020155,0.178610544428246,96400000000.0
705,763,에코마케팅,8.295861564105179,0.0844115013877007,26.45897575602517,219.5,10.721113660037124,30.67232037688899,26.12383168901487,0.0854944211605078,178422133450.0
540,577,세아홀딩스,8.0946327478,0.0312662845127611,3.1872971639154417,25.8,0.1279021720988634,1.3511797417929885,2.197743567118603,0.0453442073245841,516000000000.0
965,1037,제이에스코퍼레이션,7.989144095435976,0.0528644234293534,20.65302590977936,165.0,1.1515653580904408,-33.80470891967151,17.508766844035726,0.0623579214068924,217091341500.0
170,177,금화피에스시,7.972560793333333,0.1112263396543528,8.842830030089228,70.5,0.89992962906826,6.55876542434389,7.093483525729376,0.1386562205811683,211500000000.0
864,931,이노션,7.7973082619,0.0465491353710556,14.64607992453186,114.2,1.0860047668248034,9.99103939327855,11.484317046880134,0.0593646408645208,1142000000000.0
