종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3370","-75","-2.18","3440","3440","3325","274805","924467625","137806943160","40892268"
"068400","AJ렌터카","KOSPI",,"15650","450","2.96","15100","15650","15100","152768","2358438300","346589595000","22146300"
"006840","AK홀딩스","KOSPI",,"98500","300","0.31","97500","99000","95700","42605","4159298600","1304884758500","13247561"
"054620","AP시스템","KOSDAQ","우량기업부","9300","-150","-1.59","9500","9510","9140","603750","5615098630","217712637300","23409961"
"090470","AST젯텍","KOSDAQ","벤처기업부","5140","-170","-3.20","5400","5420","4970","601864","3078215070","75032733120","14597808"
"027410","BGF리테일","KOSPI",,"118500","5500","4.87","113000","118500","109000","65042","7481982000","2919849480000","24640080"
"138930","BS금융지주","KOSPI",,"14900","-300","-1.97","15150","15200","14750","940194","14084950500","3492260495100","234379899"
"001460","BYC","KOSPI",,"305000","500","0.16","305000","305000","299000","647","196175000","190507575000","624615"
"001465","BYC우","KOSPI",,"170500","500","0.29","167000","170500","167000","327","55628500","36723142500","215385"
"032040","C&S자산관리","KOSDAQ","벤처기업부","8350","-140","-1.65","8570","8610","8050","1064957","8877821200","197610573950","23665937"
"001040","CJ","KOSPI",,"173500","-2500","-1.42","175000","178500","173500","37179","6531958500","5049687484500","29104827"
"079160","CJ CGV","KOSPI",,"66700","-1000","-1.48","66800","69100","66400","115012","7788731600","1411459577100","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","53300","-1200","-2.20","54800","55200","53200","237089","12779778800","2064420343700","38732089"
"000120","CJ대한통운","KOSPI",,"195000","0","0.00","192500","197000","192500","38793","7590790000","4448407080000","22812344"
"011150","CJ씨푸드","KOSPI",,"3220","295","10.09","2960","3340","2945","4463774","14205580640","115697089060","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16500","750","4.76","14800","17800","14600","120509","2006715900","3300000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","234200","5100","2.23","229100","235300","225000","49709","11560960000","1453742165600","6207268"
"001045","CJ우","KOSPI",,"88600","-400","-0.45","89400","89400","86100","18965","1657600600","200255757800","2260223"
"097950","CJ제일제당","KOSPI",,"372000","-6000","-1.59","375500","383500","372000","42223","15885432000","4887446856000","13138298"
"097955","CJ제일제당 우","KOSPI",,"192000","4500","2.40","185500","195000","179000","11102","2034078500","254867136000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","52800","2800","5.60","50000","57500","49150","105431","5611026250","573608640000","10863800"
"037560","CJ헬로비전","KOSPI",,"12650","300","2.43","12550","13300","12450","1940116","24923384050","979702842250","77446865"
"058820","CMG제약","KOSDAQ","중견기업부","1205","35","2.99","1155","1245","1155","1348354","1620622050","104385373530","86626866"
"023460","CNH","KOSDAQ","중견기업부","1800","105","6.19","1695","1830","1690","259163","457026590","66960000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","2610","0","0.00","2590","2640","2555","65792","171525055","31320000000","12000000"
"159910","CS엘쏠라","KOSDAQ","벤처기업부","8700","-240","-2.68","8940","8940","8510","91985","801236150","75157673100","8638813"
"000590","CS홀딩스","KOSPI",,"80300","300","0.38","79900","81100","78500","772","61396800","92704904600","1154482"
"139130","DGB금융지주","KOSPI",,"12050","-50","-0.41","12150","12200","12050","115430","1398933200","2037090505700","169053154"
"068790","DMS","KOSDAQ","중견기업부","4300","150","3.61","4150","4565","4100","903346","3937034240","85515918900","19887423"
"004840","DRB동일","KOSPI",,"17100","200","1.18","16900","17250","16800","113986","1952581250","299250000000","17500000"
"155660","DSR","KOSPI",,"4075","15","0.37","4040","4095","4000","36342","147261300","65200000000","16000000"
"069730","DSR제강","KOSPI",,"4265","-65","-1.50","4360","4390","4215","77100","329446525","61416000000","14400000"
"017940","E1","KOSPI",,"65400","-100","-0.15","65500","66100","64900","9017","589859200","448644000000","6860000"
"037370","EG","KOSDAQ","벤처기업부","17500","-500","-2.78","18200","18200","17400","55497","978228350","131250000000","7500000"
"079190","EMW","KOSDAQ","벤처기업부","2925","-80","-2.66","3090","3090","2860","34985","103888440","53376461775","18248363"
"007700","F&F","KOSPI",,"20850","2700","14.88","18850","20850","18850","269394","5502032750","321090000000","15400000"
"114090","GKL","KOSPI",,"37500","-350","-0.92","38000","38400","37050","252461","9453849600","2319587625000","61855670"
"078930","GS","KOSPI",,"43000","100","0.23","42600","43150","42100","228184","9777939150","3995361254000","92915378"
"083450","GST","KOSDAQ","벤처기업부","6250","-20","-0.32","6260","6270","6150","90672","564697660","58235906250","9317745"
"006360","GS건설","KOSPI",,"29800","-400","-1.32","30150","30600","29300","552652","16486432200","2115800000000","71000000"
"001250","GS글로벌","KOSPI",,"7740","-60","-0.77","7810","7820","7690","33376","258556400","174411333360","22533764"
"007070","GS리테일","KOSPI",,"33450","50","0.15","33150","33500","32600","161393","5334402450","2575650000000","77000000"
"078935","GS우","KOSPI",,"27000","-350","-1.28","27400","27400","26900","10791","291775200","48190302000","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","221800","-300","-0.14","222100","223400","218000","13087","2899015000","1455562500000","6562500"
"053870","GT&T","KOSDAQ","관리종목(소속부없음)","629","-35","-5.27","663","681","620","433307","278556664","5032000000","8000000"
"035000","GⅡR","KOSPI",,"9380","-140","-1.47","9680","9680","8950","38044","354633170","155402296420","16567409"
"078150","HB테크놀러지","KOSDAQ","벤처기업부","1340","-30","-2.19","1380","1380","1320","1024545","1374370815","103161603140","76986271"
"001500","HMC투자증권","KOSPI",,"12550","200","1.62","12300","12650","12150","152489","1893864100","368180743050","29337111"
"036640","HRS","KOSDAQ","중견기업부","4075","-55","-1.33","4130","4135","4045","63884","259751905","66645810000","16354800"
"204840","IBKS제2호스팩","KOSDAQ","SPAC(소속부없음)","2170","-80","-3.56","2230","2250","2165","190974","416197000","9765000000","4500000"
"011420","IB월드와이드","KOSPI",,"2320","-90","-3.73","2410","2430","2315","73703","172688640","45524023680","19622424"
"003560","IHQ","KOSPI",,"3030","-145","-4.57","3160","3195","2995","1856596","5686315845","433807536120","143170804"
"095340","ISC","KOSDAQ","벤처기업부","42700","-100","-0.23","42400","44300","42400","348310","14233148250","505911564200","11848046"
"099520","ITX시큐리티","KOSDAQ","벤처기업부","3270","-25","-0.76","3280","3360","3230","336783","1106331480","43207762410","13213383"
"175330","JB금융지주","KOSPI",,"6280","-20","-0.32","6260","6310","6180","280954","1757367890","794444787160","126503947"
"067290","JW중외신약","KOSDAQ","중견기업부","6700","20","0.30","6600","6750","6510","816253","5430991330","261601218600","39044958"
"001060","JW중외제약","KOSPI",,"16350","0","0.00","16350","16500","15850","70728","1141835850","269000418750","16452625"
"001067","JW중외제약2우B","KOSPI",,"18650","-550","-2.86","18550","19150","18350","2248","41911650","1471652850","78909"
"001065","JW중외제약우","KOSPI",,"12300","-200","-1.60","12750","12750","12300","558","6973450","1848247200","150264"
"096760","JW홀딩스","KOSPI",,"3050","-60","-1.93","3110","3125","3050","171482","528262070","172690972550","56619991"
"035900","JYP Ent.","KOSDAQ","중견기업부","5010","15","0.30","4990","5050","4920","220476","1097992175","170555490120","34043012"
"105560","KB금융","KOSPI",,"38600","-700","-1.78","39500","39500","38500","694282","26904586800","14913175349800","386351693"
"024120","KB오토시스","KOSDAQ","중견기업부","5390","140","2.67","5200","6030","5120","688518","3903821250","61985000000","11500000"
"002380","KCC","KOSPI",,"545000","-21000","-3.71","560000","563000","545000","36082","19828340000","5733400000000","10520000"
"021320","KCC건설","KOSDAQ","중견기업부","9980","-220","-2.16","10000","10100","9950","79410","793203560","213572000000","21400000"
"036670","KCI","KOSDAQ","벤처기업부","15450","650","4.39","15450","16500","15200","886243","14064354550","171958500000","11130000"
"009070","KCTC","KOSPI",,"3965","60","1.54","3910","4085","3820","170016","680322935","118950000000","30000000"
"068060","KCW","KOSDAQ","중견기업부","9380","290","3.19","8950","9400","8690","6064","55445420","51027200000","5440000"
"009440","KC그린홀딩스","KOSPI",,"9590","-160","-1.64","9770","9800","9500","216543","2086465610","215151458200","22434980"
"119650","KC코트렐","KOSPI",,"7290","40","0.55","7250","7380","7100","45115","326125550","72900000000","10000000"
"092220","KEC","KOSPI",,"1510","-45","-2.89","1555","1585","1475","2352199","3570315375","89161549840","59047384"
"151860","KG ETS","KOSDAQ","우량기업부","5630","150","2.74","5550","5690","5460","547781","3059297870","202680000000","36000000"
"109070","KGP","KOSPI",,"1500","65","4.53","1435","1645","1435","662925","1019060410","49367830500","32911887"
"046440","KG모빌리언스","KOSDAQ","우량기업부","17100","-150","-0.87","17250","17250","16850","194713","3310953150","344396154600","20140126"
"035600","KG이니시스","KOSDAQ","우량기업부","22300","-400","-1.76","22700","22800","22150","336522","7526236750","590099054300","26461841"
"001390","KG케미칼","KOSPI",,"17450","0","0.00","17450","17450","17100","74285","1282544550","195874976150","11224927"
"060720","KH바텍","KOSDAQ","우량기업부","31300","-650","-2.03","31950","32150","31100","209231","6590189650","500800000000","16000000"
"001940","KISCO홀딩스","KOSPI",,"52200","-100","-0.19","52300","52500","51200","2172","112834600","192893407200","3695276"
"083470","KJ프리텍","KOSDAQ","벤처기업부","3080","120","4.05","3050","3155","3035","313252","970907360","59678101560","19376007"
"122450","KMH","KOSDAQ","중견기업부","10100","100","1.00","10050","10150","9890","90993","912246630","130919452200","12962322"
"058400","KNN","KOSDAQ","우량기업부","7570","30","0.40","7520","7580","7500","3698","28227970","100249298040","13242972"
"083420","KPX그린케미칼","KOSPI",,"5570","170","3.15","5370","5590","5360","19716","108131070","111400000000","20000000"
"114450","KPX생명과학","KOSDAQ","중견기업부","3740","485","14.90","3330","3740","3260","399205","1472157370","56100000000","15000000"
"025000","KPX케미칼","KOSPI",,"58200","200","0.34","58100","60000","57800","21201","1246458400","281688000000","4840000"
"092230","KPX홀딩스","KOSPI",,"73100","-1600","-2.14","74700","80000","73100","9561","720256000","308821622600","4224646"
"000040","KR모터스","KOSPI",,"1520","95","6.67","1395","1530","1395","5683134","8405609235","181398896080","119341379"
"044450","KSS해운","KOSPI",,"14600","0","0.00","14550","14800","14500","35824","523483450","169256924000","11592940"
"030200","KT","KOSPI",,"29000","0","0.00","29200","29250","28900","830587","24109311650","7572242432000","261111808"
"033780","KT&G","KOSPI",,"89900","1200","1.35","87900","91200","87900","360764","32505449700","12342595480300","137292497"
"030210","KTB투자증권","KOSPI",,"3750","475","14.50","3275","3755","3250","5216459","18240871410","226177845000","60314092"
"036030","KTH","KOSDAQ","중견기업부","14200","-250","-1.73","14400","14550","14050","138334","1970422200","507153312400","35715022"
"058850","KTcs","KOSPI",,"3700","180","5.11","3545","3740","3475","851481","3078037570","157934500000","42685000"
"043610","KT뮤직","KOSDAQ","중견기업부","5150","-160","-3.01","5270","5320","5150","359657","1870253130","215341239950","41813833"
"060370","KT서브마린","KOSDAQ","우량기업부","6250","150","2.46","6090","6250","5980","1258599","7724535490","136875000000","21900000"
"093050","LF","KOSPI",,"31050","-650","-2.05","31700","31700","31050","55306","1732388600","907902000000","29240000"
"003550","LG","KOSPI",,"59400","-1900","-3.10","61300","61600","59300","682423","40988034600","10249893581400","172557131"
"034220","LG디스플레이","KOSPI",,"31700","400","1.28","31500","32000","31150","1202375","38104121800","11342757690000","357815700"
"001120","LG상사","KOSPI",,"37250","-400","-1.06","37300","37650","36000","265162","9753966950","1443810000000","38760000"
"068870","LG생명과학","KOSPI",,"54300","-300","-0.55","54000","57000","53700","448019","24851195000","900130557000","16576990"
"068875","LG생명과학우","KOSPI",,"28800","0","0.00","28800","30250","28800","1060","31207450","6803020800","236216"
"051900","LG생활건강","KOSPI",,"840000","-1000","-0.12","828000","867000","821000","64446","54408085020","13119285480000","15618197"
"051905","LG생활건강우","KOSPI",,"400000","24000","6.38","379500","400000","374000","11086","4343731000","839878800000","2099697"
"003555","LG우","KOSPI",,"34750","-300","-0.86","35050","35050","34500","4129","143247750","115185025750","3314677"
