종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"052420","오성첨단소재","KOSDAQ","중견기업부","3435","-25","-0.72","3485","3570","3385","1219129","4213448195","100870317315","29365449"
"241790","오션브릿지","KOSDAQ","벤처기업부","9950","-150","-1.49","10200","10200","9950","40118","401001720","90793551000","9124980"
"039200","오스코텍","KOSDAQ","벤처기업부","26800","350","1.32","26450","27650","25650","1034355","27421331450","730321091600","27250787"
"226400","오스테오닉","KOSDAQ","기술성장기업부","8500","270","3.28","8230","8660","8000","153033","1276160330","65285856500","7680689"
"031510","오스템","KOSDAQ","우량기업부","3980","-50","-1.24","4110","4110","3910","150748","595694960","103480000000","26000000"
"048260","오스템임플란트","KOSDAQ","우량기업부","52800","-300","-0.56","53600","53900","52600","36053","1917602600","754285857600","14285717"
"138080","오이솔루션","KOSDAQ","벤처기업부","11000","-450","-3.93","11550","11550","10900","174557","1934342150","85134852000","7739532"
"080580","오킨스전자","KOSDAQ","벤처기업부","4705","25","0.53","4635","4720","4635","21360","100334720","29171000000","6200000"
"067170","오텍","KOSDAQ","우량기업부","12700","-100","-0.78","12850","12950","12700","129941","1664392550","195473383500","15391605"
"173130","오파스넷","KONEX","일반기업부","7400","0","0.00","0","0","0","0","0","21959514800","2967502"
"049480","오픈베이스","KOSDAQ","중견기업부","3735","15","0.40","3800","3815","3650","487408","1813602685","117362600505","31422383"
"057540","옴니시스템","KOSDAQ","우량기업부","2570","5","0.19","2600","2615","2545","488952","1264244455","104545068550","40679015"
"057680","옴니텔","KOSDAQ","중견기업부","4740","-110","-2.27","4905","4905","4560","376696","1747252775","102851553600","21698640"
"123010","옵토팩","KOSDAQ","기술성장기업부","5820","-260","-4.28","6280","6310","5690","1594453","9402684830","28939420380","4972409"
"082210","옵트론텍","KOSDAQ","벤처기업부","6220","-240","-3.72","6460","6460","6200","167661","1058009120","140327099940","22560627"
"109080","옵티시스","KOSDAQ","벤처기업부","8850","120","1.37","8830","8850","8660","104513","916993270","49878600000","5636000"
"052770","와이디온라인","KOSDAQ","관리종목(소속부없음)","2440","-140","-5.43","2510","2545","2380","567622","1384995340","66681674200","27328555"
"010600","와이비로드","KOSPI",,"2775","0","0.00","2775","2880","2745","115088","323688990","42318428100","15249884"
"057030","와이비엠넷","KOSDAQ","중견기업부","2665","-65","-2.38","2745","2745","2665","12828","34643920","43473337505","16312697"
"122990","와이솔","KOSDAQ","우량기업부","13900","-300","-2.11","14200","14200","13650","225691","3131661100","319336695700","22973863"
"232140","와이아이케이","KOSDAQ","벤처기업부","5330","-150","-2.74","5500","5560","5290","294394","1574217020","329332470480","61788456"
"067900","와이엔텍","KOSDAQ","중견기업부","4760","0","0.00","5170","5200","4725","841452","4136838910","84931742280","17842803"
"155650","와이엠씨","KOSDAQ","벤처기업부","16950","-100","-0.59","17050","17050","16450","66307","1107553250","167213326350","9865093"
"251370","와이엠티","KOSDAQ","벤처기업부","31450","-1500","-4.55","33000","33000","31300","35489","1134450450","232893540000","7405200"
"066430","와이오엠","KOSDAQ","중견기업부","5420","-280","-4.91","5770","5980","5200","327700","1775841240","62674354280","11563534"
"193250","와이제이엠게임즈","KOSDAQ","벤처기업부","2855","-40","-1.38","2915","2920","2840","345182","992366200","130292478725","45636595"
