,Unnamed: 0,Name,ROE,ROA,PER,PBR,PSR,PCR,POR,GP/A,시가총액
438,440,백금T&A,1.1380873288875284,0.0944072377691424,5.245643149226193,5.97,0.297044588025872,1.1519528793708091,2.505286982627763,0.1976726353009,46229020365.0
299,300,동원수산,0.2497752407331205,0.0588960558236735,8.127306750027362,2.03,0.2880506941903009,2.470899724152093,3.118056671381383,0.1535143079467084,47236120750.0
623,626,시큐브,1.3541989965789474,0.137792610643756,10.781281064956724,14.6,3.045559582741346,8.532590094988251,10.986071200717946,0.1352240338591103,55480000000.0
163,164,골든센츄리,0.6120331150716514,0.0920595508960237,385.7903905130453,236.116494470408,74.04794976990296,229.34073381896843,284.3440849877119,0.1249039173512872,49698140000.0
364,365,린드먼아시아,0.6254894327407408,0.0793967132792929,13.733245599946803,8.59,6.792959980571632,-12.440949032467142,10.752096652171444,0.1014104131097892,57982500000.0
1186,1190,텔레필드,1.074725646025573,0.0839642602716319,6.345805578587374,6.82,0.5486652073403725,-100.04560830269278,5.453236853587264,0.0977072673605186,31020930270.0
1107,1111,케이엘넷,0.3156208518166007,0.0849656720703569,14.60613255894371,4.61,1.4455164568685426,12.141489865227776,13.451030021411391,0.0922620696886346,55676652650.0
1235,1241,포시에스,1.364738872154431,0.0970509369478246,9.511346971645832,12.980504938753391,2.247941715367631,7.699882058159382,10.189249201315658,0.0905940287646406,48779199370.0
429,431,바이오로그디바이스,2.1250242000817656,0.0689959134852689,8.752841496715341,18.6,0.5938890483232512,2.171267772759455,7.619812663206644,0.0792552679902106,53698864020.0
735,739,에스티오,0.5237979018598228,0.0480276719163885,9.049291688969966,4.74,0.3479663022259041,-9.352972650979394,5.535869056595336,0.0785091568948432,29627313120.0
579,582,세종메디칼,0.9038349686126984,0.0618974574152857,16.640205925076103,15.04,3.1404050593757646,11.376411411688952,13.5399680414582,0.0760700789304121,50968612320.0
615,618,스페코,1.345059485093279,0.1122635269507211,6.059211574151906,8.15,0.7993894651621185,8.08214672561683,9.0001163588379,0.0755799630509171,59721040250.0
1327,1333,한일네트웍스,1.1779817440307934,0.0563848047244263,7.529828068174315,8.87,0.435870569914503,1.7054335173841455,6.078094193572724,0.0698521397844528,53016996745.0
63,64,KMH하이텍,0.094752765967149,0.0294414232419119,27.12321876588831,2.57,1.0218806254532076,5.740741724121307,11.490065288220505,0.0694988360238604,60247866215.0
1398,1404,휴네시온,0.3733237966491778,0.0633869264776,24.991709834044265,9.33,2.380723595939057,14.827981325544831,23.61465086847688,0.067083256179525,44819789880.0
897,901,유니온커뮤니티,0.5574990543978895,0.0750740818619158,9.973111086268863,5.56,0.9955540215812462,9.431150659433332,11.718146796626709,0.0638942463431217,40807639460.0
1084,1088,진코스텍,0.4720155961321193,0.0181258906218419,18.643451767506512,8.8,0.4694500746191918,4.922226628563804,5.382428212515974,0.0627837760595875,10593088000.0
642,646,신풍제지,1.1179492171619654,0.1052596585610766,2.674540090103947,2.99,0.3331449600537903,2.9849837678523934,4.603483135315055,0.0611539498282501,52263256500.0
376,377,매커스,0.5941578227730189,0.0474839104045605,12.656569873814153,7.52,1.0572494195324489,30.453136161021263,10.215825218577676,0.0588286718946944,60773225920.0
1313,1319,한솔로지스틱스,0.4120198751253491,0.0354338047008914,7.138198089122268,2.9410794853001625,0.0915456531308419,1.4392104584016383,4.4306740747155375,0.0570869156117005,42177847375.0
529,532,상신전자,0.3514007366098788,0.048027728549758,20.887833277790723,7.34,0.6377350083524247,52.72191825615972,17.591947867068086,0.0570258162563285,52278115060.0
1291,1297,한국컴퓨터,0.9434849674170523,0.0589570680635712,6.486589835929789,6.12,0.4454910390838556,2.5457752393803226,6.838979918969186,0.0559192047627804,49178147400.0
465,467,비엠티,1.322129984193268,0.0458372259549614,10.25617765432798,13.56,0.742763142411514,5.282757076612077,8.662219416476354,0.0542718568963349,55233466620.0
1381,1387,혜인,0.6682840106862821,0.0194552920994057,12.913671226605556,8.63,0.2102887824755539,2.072069749081152,4.647323420411451,0.0540610633393486,54855503305.0
1070,1074,지니언스,0.657935836562692,0.0727325531830707,15.59422580414856,10.26,1.9437966072749684,26.509050573440657,21.11297467991411,0.0537208931874522,48450798000.0
1122,1126,코렌텍,0.4733165211170586,0.0399114447839796,23.78957737081657,11.26,1.4831542358027645,15.461261729775549,18.164328294519773,0.0522714844322658,59606729830.0
393,394,멜파스,-1.0369280055449015,-0.1500894402956042,-3.1631897127480646,3.28,0.4893449782739463,-82.20438069481409,9.326575182892393,0.0509041490820787,37186219360.0
766,770,에프앤가이드,0.4380161329090909,0.0444245115218649,15.958316314917004,6.99,1.8216108765261336,9.027342970900582,13.938132126807917,0.050863372548898,38445000000.0
186,187,나우IB,0.0621181260126582,0.0396619156266561,14.73000006171378,0.915,4.7914289651297866,7.604833164352588,11.58172676696558,0.0504432569843294,43371000000.0
422,424,바다로19호,0.0716968133034701,0.1182501530714107,8.131463214862052,0.583,6.880089274827365,8.341808663365637,19.355571386462607,0.0496780358819318,44308011660.0
250,251,대한과학,0.5231415249064658,0.0438731439863673,19.45936140668649,10.18,0.6878117826297789,15.558318272898372,17.247411481931092,0.0494997968693866,37943354100.0
331,332,디케이앤디,0.7290724355749084,0.045567983873061,15.910627578249953,11.6,0.7526723550480311,25.346197324953533,15.238886077290797,0.0475766546989548,45026571600.0
53,54,KD,0.236140953713532,0.0669057478450364,4.192411287748801,0.989999999848379,0.4929827914100232,-15.065519061829644,5.916895893512116,0.0474060077325968,38784885480.0
48,49,KBI메탈,0.4133995992455186,0.0310416388847588,8.151918884658985,3.37,0.1122145324922156,-11.262151380909732,5.378909064640979,0.0470446551883324,55522178880.0
1295,1301,한국큐빅,0.4095140703106064,0.0255356579685619,13.308456033919196,5.45,0.2841513632243093,5.422284679909445,7.469428472199098,0.0454974811843604,44555284175.0
1411,1417,희림,0.5130437846719064,0.0220957163652581,16.704227311671946,8.57,0.3341025806387329,2.953340589212889,8.246139679919848,0.0447593520248361,59657805375.0
628,631,신라에스지,0.363068876,0.0151167601905512,43.57299963106725,15.82,0.3539136039234659,5.796612090699104,15.087880456499065,0.0436564027733992,31640000000.0
854,858,우리바이오,0.2714405452546088,0.0099940035478523,8.252267537625595,2.24,0.0300768672516968,0.7645285243953528,1.9008570332104384,0.0433873719106397,50308023360.0
298,299,동원금속,0.7285030485660198,0.0348979047038091,2.4131676641030326,1.758,0.090000276799298,0.8585375467397136,1.9889623914809775,0.0423409188312883,41097586107.0
778,782,엔에스엠,0.1520790244119464,0.0327290879837436,14.531918576842184,2.21,0.417427904725808,4.153516922230937,11.468307833659363,0.0414722423371073,21856524300.0
874,878,원일특강,4.517229153181818,0.0443606169785283,3.971461130627728,17.94,0.1542889736007091,9.920690199962165,4.288892952815755,0.0410773754437554,39468000000.0
128,129,TCC스틸,0.2254567336242587,0.0160315256393086,12.064399036903874,2.72,0.1390101278831318,-9.007456551658109,4.727037611897798,0.0409158416671293,60771600000.0
949,953,이엘피,1.6592158822930456,0.0534550578883212,14.4043944221231,23.9,1.5711483273663434,25.94865750683641,18.873252530028594,0.0407978294390805,58680475000.0
823,827,오리콤,0.5067976071530795,0.0303187708436052,9.846139621753892,4.99,0.2941547257945651,10.400437992654762,7.34096150747879,0.0406653611494858,58403209500.0
753,757,에이텍티앤,1.8862821827715357,0.0393401030155444,9.51077212299199,17.94,0.3741462534391884,2.156434415699942,9.294819707640988,0.0402541164696602,47899800000.0
1326,1332,한익스프레스,0.6500016358913978,0.0184128376504495,10.419106161062375,6.772436049216688,0.091659320684421,2.209521703308757,4.771615509982174,0.040205525739679,52920000000.0
858,862,우리조명,0.4332201621724467,0.0079981207048673,5.632240170365707,2.44,0.0179101258688079,0.4666200992296614,1.1222700431168875,0.0401394806870879,30406482120.0
1248,1254,프럼파스트,0.2430415140294679,0.0309630401071425,27.23814499936562,6.62,1.0963064044268185,4.71434603387962,21.099477694418272,0.0399714053719268,32208252900.0
1136,1140,코아스,0.1372115288956848,0.0274258667505217,18.803084702608675,2.58,0.3532282595408166,8.093671162196038,12.941081963732548,0.0398491329394054,39870300900.0
1279,1285,한국맥널티,-0.1560450397989949,-0.014681262093053,-58.060160141394974,9.06,1.0520468618352166,10.319614753028308,21.481300467536013,0.0396808577529396,45073500000.0
